Year,Month,Name,ProductCount
2013,12,"Mountain-200 Silver, 46",19
2014,2,"Short-Sleeve Classic Jersey, L",1
2013,7,"Long-Sleeve Logo Jersey, S",3
2014,4,All-Purpose Bike Stand,1
2013,8,"HL Mountain Frame - Silver, 46",5
2013,5,"Mountain-200 Black, 46",1
2014,1,"Touring-3000 Yellow, 50",1
2013,12,Water Bottle - 30 oz.,9
2013,9,"Half-Finger Gloves, M",3
2013,10,Patch Kit/8 Patches,7
2013,9,Touring Tire Tube,7
2013,11,"Touring-1000 Blue, 54",3
2014,5,"Touring-1000 Blue, 60",1
2013,7,"Mountain-200 Silver, 46",1
2012,7,"Road-250 Red, 48",15
2014,3,"Road-750 Black, 48",2
2013,9,"Women's Mountain Shorts, M",2
2014,3,"Mountain-500 Black, 52",1
2014,5,"Road-350-W Yellow, 44",2
2012,4,"Road-150 Red, 56",1
2013,4,"Road-250 Black, 44",1
2014,1,ML Mountain Tire,1
2013,11,"Touring-1000 Yellow, 50",2
2013,11,"Touring-2000 Blue, 46",2
2014,5,"Long-Sleeve Logo Jersey, M",2
2013,7,"Mountain-200 Black, 42",1
2013,6,"Road-550-W Yellow, 42",1
2014,1,LL Mountain Tire,2
2012,4,"Road-650 Red, 48",17
2014,1,"Touring-3000 Blue, 50",33
2013,9,Touring Tire,2
2013,12,"Mountain-200 Black, 38",2
2013,10,"Road-550-W Yellow, 40",1
2012,10,"Men's Sports Shorts, M",24
2013,12,LL Mountain Tire,2
2013,7,ML Mountain Tire,6
2014,5,"Racing Socks, L",2
2013,7,"Road-250 Red, 58",2
2014,4,"Women's Mountain Shorts, L",2
2014,2,"Short-Sleeve Classic Jersey, XL",1
2013,9,HL Road Tire,1
2013,11,"Road-350-W Yellow, 40",1
2013,11,"Mountain-400-W Silver, 40",1
2014,3,"Half-Finger Gloves, M",2
2014,3,Touring Tire Tube,5
2011,10,"Road-150 Red, 44",1
2014,5,"Mountain-200 Black, 46",2
2014,6,ML Road Tire,1
2014,3,"Sport-100 Helmet, Red",1
2013,6,"ML Road Frame-W - Yellow, 44",39
2014,2,Road Bottle Cage,5
2014,3,Bike Wash - Dissolver,4
2013,10,"Road-250 Black, 44",1
2013,7,Mountain Tire Tube,5
2014,5,"Long-Sleeve Logo Jersey, L",4
2014,3,LL Road Tire,2
2014,4,Bike Wash - Dissolver,1
2013,8,"Mountain-500 Silver, 48",12
2013,6,"Half-Finger Gloves, S",1
2014,4,"Long-Sleeve Logo Jersey, XL",2
2013,12,"Mountain-200 Black, 38",2
2013,9,"Sport-100 Helmet, Red",2
2014,1,Mountain Bottle Cage,8
2011,6,"Road-150 Red, 62",1
2012,5,HL Mountain Handlebars,11
2014,5,Water Bottle - 30 oz.,7
2014,4,HL Mountain Tire,9
2013,11,"Touring-2000 Blue, 50",5
2013,10,"Sport-100 Helmet, Blue",6
2013,8,AWC Logo Cap,1
2013,11,"Touring-2000 Blue, 60",15
2013,7,"Road-350-W Yellow, 48",1
2014,5,"Mountain-200 Silver, 42",2
2014,5,"Touring-2000 Blue, 60",1
2014,1,"Touring-1000 Yellow, 46",1
2014,5,"Touring-2000 Blue, 54",1
2014,5,"Road-350-W Yellow, 40",2
2013,5,"Road-650 Red, 62",1
2013,12,"Half-Finger Gloves, S",2
2013,7,"Half-Finger Gloves, L",2
2013,8,LL Road Tire,4
2013,6,"Mountain-200 Silver, 38",1
2012,5,LL Mountain Rear Wheel,18
2014,2,Road Tire Tube,12
2013,11,"Road-350-W Yellow, 40",1
2014,3,"Road-250 Black, 58",1
2012,12,"Road-250 Black, 52",1
2013,7,ML Mountain Tire,2
2014,3,Bike Wash - Dissolver,2
2014,1,"Touring-3000 Yellow, 44",1
2014,5,"Long-Sleeve Logo Jersey, XL",3
2011,10,"Road-150 Red, 44",1
2012,8,"Mountain-200 Black, 38",1
2012,7,"ML Mountain Frame - Black, 44",21
2014,3,"Short-Sleeve Classic Jersey, M",2
2013,7,Mountain Tire Tube,3
2013,4,"Mountain-200 Black, 46",1
2013,1,"Road-550-W Yellow, 44",1
2013,10,"Women's Mountain Shorts, M",1
2013,9,ML Road Pedal,29
2013,7,"Sport-100 Helmet, Black",5
2012,4,"LL Road Frame - Black, 52",15
2013,8,Hitch Rack - 4-Bike,1
2012,11,"Road-550-W Yellow, 42",2
2013,10,Patch Kit/8 Patches,7
2012,2,"Road-150 Red, 48",1
2013,1,"Road-250 Black, 48",1
2014,4,"Racing Socks, L",3
2014,5,HL Mountain Tire,3
2014,2,Road Bottle Cage,5
2014,5,"Mountain-200 Silver, 38",2
2012,7,"Road-250 Red, 52",16
2014,5,"Women's Mountain Shorts, L",3
2014,5,"Touring-1000 Yellow, 50",1
2014,2,AWC Logo Cap,5
2014,4,Water Bottle - 30 oz.,13
2013,11,"Mountain-500 Silver, 42",1
2012,3,"Road-150 Red, 44",15
2011,8,"Road-150 Red, 48",1
2011,11,"Road-150 Red, 56",2
2013,9,Fender Set - Mountain,1
2014,1,"Short-Sleeve Classic Jersey, S",1
2013,12,"Touring-1000 Blue, 60",4
2011,10,"Road-150 Red, 62",1
2014,5,"Mountain-200 Silver, 42",1
2013,8,"Mountain-400-W Silver, 46",1
2014,6,"Half-Finger Gloves, S",2
2014,1,"Half-Finger Gloves, L",1
2013,10,"Road-750 Black, 44",2
2013,10,"Road-750 Black, 48",1
2013,12,"Mountain-200 Black, 42",21
2011,10,"Road-650 Black, 48",9
2012,6,"Mountain-200 Silver, 42",1
2014,5,LL Mountain Tire,2
2013,12,"Road-350-W Yellow, 40",1
2013,9,"Sport-100 Helmet, Blue",7
2013,8,"Sport-100 Helmet, Black",3
2013,10,"Women's Mountain Shorts, L",2
2014,2,Hydration Pack - 70 oz.,2
2013,8,"Women's Mountain Shorts, S",1
2013,6,"Road-750 Black, 52",1
2014,1,Mountain Tire Tube,8
2013,12,"Mountain-400-W Silver, 42",1
2013,4,"Road-650 Black, 48",1
2012,4,"Mountain-100 Silver, 44",1
2013,11,"Road-550-W Yellow, 38",21
2013,12,LL Mountain Tire,3
2013,11,"Mountain-200 Silver, 42",3
2014,1,ML Road Tire,3
2014,2,Mountain Bottle Cage,5
2014,2,"Sport-100 Helmet, Red",10
2013,8,Road Bottle Cage,8
2012,12,"Mountain-200 Silver, 38",1
2013,9,Road Tire Tube,5
2013,12,"HL Mountain Frame - Silver, 38",12
2011,11,"Road-150 Red, 62",3
2013,6,"Road-250 Black, 44",1
2014,2,"Classic Vest, L",5
2013,11,"Touring-3000 Blue, 62",1
2013,9,"Half-Finger Gloves, M",1
2014,1,"Road-750 Black, 58",3
2014,2,"Sport-100 Helmet, Red",7
2012,5,"Mountain-300 Black, 44",16
2013,8,Mountain Bottle Cage,4
2013,11,"Long-Sleeve Logo Jersey, XL",1
2013,8,Road Tire Tube,4
2013,1,"Mountain-200 Black, 42",1
2011,12,"Road-150 Red, 52",1
2013,9,Touring Tire Tube,4
2013,11,HL Road Tire,3
2013,12,"Road-750 Black, 52",4
2014,2,"Mountain-500 Silver, 48",1
2014,4,"Road-750 Black, 44",1
2012,12,"Road-250 Red, 48",1
2013,9,"Short-Sleeve Classic Jersey, M",3
2014,6,ML Mountain Tire,1
2014,2,"Short-Sleeve Classic Jersey, XL",1
2014,2,"Mountain-400-W Silver, 46",1
2013,7,"Mountain-200 Black, 38",1
2013,11,HL Mountain Tire,4
2013,8,Touring Tire,3
2014,3,"Sport-100 Helmet, Blue",28
2013,12,"Road-350-W Yellow, 48",1
2014,2,"Sport-100 Helmet, Black",8
2012,1,"Road-450 Red, 58",23
2014,4,"Women's Mountain Shorts, M",4
2013,12,"Touring-1000 Blue, 54",1
2014,1,"Mountain-200 Silver, 46",1
2013,12,"Touring-1000 Yellow, 46",2
2013,10,"Touring-1000 Yellow, 50",2
2014,4,"Women's Mountain Shorts, M",2
2013,11,"Mountain-200 Silver, 42",1
2012,7,"Mountain-200 Silver, 46",2
2012,9,"Road-250 Black, 58",1
2013,7,"Road-250 Black, 48",2
2013,12,LL Mountain Tire,3
2014,2,LL Road Tire,2
2014,3,"Touring-1000 Yellow, 60",25
2014,5,"Mountain-400-W Silver, 42",1
2014,4,Patch Kit/8 Patches,12
2014,2,Hydration Pack - 70 oz.,1
2014,3,"Sport-100 Helmet, Red",4
2014,2,AWC Logo Cap,12
2014,3,Fender Set - Mountain,4
2014,3,All-Purpose Bike Stand,1
2013,8,"Touring-1000 Blue, 50",2
2013,11,Water Bottle - 30 oz.,11
2013,10,"Long-Sleeve Logo Jersey, M",1
2014,5,"Mountain-200 Silver, 38",1
2013,8,"Short-Sleeve Classic Jersey, XL",3
2013,10,HL Road Tire,3
2013,5,"Road-250 Black, 44",15
2012,6,"Road-250 Red, 48",30
2014,3,"Half-Finger Gloves, M",1
2014,3,Touring Tire Tube,4
2014,4,"Road-750 Black, 44",2
2013,9,"Sport-100 Helmet, Red",3
2013,3,"Road-650 Red, 58",2
2013,5,HL Mountain Tire,1
2014,4,"Racing Socks, L",2
2013,7,ML Road Tire,4
2014,4,"Touring-1000 Yellow, 54",1
2014,3,"Sport-100 Helmet, Blue",11
2013,8,AWC Logo Cap,2
2013,2,"ML Road Frame-W - Yellow, 40",4
2014,1,"Mountain-500 Silver, 48",1
2014,3,"Classic Vest, L",1
2013,11,"Women's Mountain Shorts, L",2
2013,8,Touring Tire,3
2014,2,ML Mountain Tire,3
2013,11,"Road-250 Black, 44",1
2013,10,HL Road Tire,4
2012,1,"ML Road Frame - Red, 48",8
2012,9,"Road-650 Black, 58",1
2013,10,"Racing Socks, M",1
2013,1,"ML Road Frame-W - Yellow, 38",9
2013,8,"Short-Sleeve Classic Jersey, L",1
2014,5,"Road-750 Black, 52",1
2013,9,All-Purpose Bike Stand,1
2013,8,"Half-Finger Gloves, L",2
2014,4,"Half-Finger Gloves, M",2
2014,1,"Full-Finger Gloves, S",1
2013,9,Bike Wash - Dissolver,2
2014,5,HL Mountain Tire,8
2013,7,"Half-Finger Gloves, S",2
2013,8,Hitch Rack - 4-Bike,2
2012,5,"Mountain-100 Silver, 48",1
2012,3,"Mountain-100 Black, 44",1
2014,4,"Mountain-200 Black, 46",1
2013,5,"ML Road Frame-W - Yellow, 44",19
2011,10,"Mountain-100 Silver, 44",2
2013,7,"Road-350-W Yellow, 42",1
2013,11,"Long-Sleeve Logo Jersey, L",1
2012,1,"Road-150 Red, 48",2
2014,5,"Road-550-W Yellow, 38",1
2013,8,Hydration Pack - 70 oz.,2
2014,3,"Short-Sleeve Classic Jersey, M",1
2014,1,"Short-Sleeve Classic Jersey, L",1
2013,4,"Road-650 Red, 62",25
2013,10,Patch Kit/8 Patches,8
2013,10,"Mountain-200 Black, 46",2
2014,2,"Women's Mountain Shorts, S",2
2014,4,Water Bottle - 30 oz.,13
2014,1,"Touring-1000 Blue, 50",23
2012,12,"Road-250 Red, 58",1
2012,12,"Road-550-W Yellow, 38",1
2013,7,"Mountain-200 Black, 42",1
2012,4,"Mountain-100 Silver, 42",1
2013,9,"Road-550-W Yellow, 40",1
2013,8,ML Mountain Tire,4
2014,1,"Half-Finger Gloves, S",1
2012,11,"Men's Sports Shorts, M",15
2013,8,LL Road Tire,4
2014,5,"Mountain-400-W Silver, 40",1
2014,4,HL Road Tire,1
2014,2,Touring Tire,2
2014,1,"Half-Finger Gloves, L",1
2011,9,"Road-150 Red, 44",1
2014,4,"Short-Sleeve Classic Jersey, M",1
2013,6,"Touring-1000 Yellow, 60",1
2013,8,"Touring-1000 Blue, 46",1
2014,4,"Women's Mountain Shorts, S",3
2012,6,HL Headset,12
2014,3,All-Purpose Bike Stand,1
2013,8,"Sport-100 Helmet, Black",9
2014,4,"Long-Sleeve Logo Jersey, M",2
2012,7,"Road-650 Red, 62",26
2014,3,"Road-250 Black, 48",1
2014,2,"Sport-100 Helmet, Blue",5
2013,5,"Mountain-200 Silver, 46",1
2014,3,"ML Mountain Frame-W - Silver, 40",21
2012,11,"Road-650 Black, 62",1
2014,4,Hydration Pack - 70 oz.,1
2013,6,ML Crankset,9
2013,6,AWC Logo Cap,1
2013,12,"Road-550-W Yellow, 40",1
2013,7,Touring Tire Tube,3
2014,3,"Road-750 Black, 48",2
2013,6,"Mountain-200 Black, 42",1
2013,3,"Road-250 Red, 48",1
2014,3,Water Bottle - 30 oz.,10
2013,11,ML Mountain Tire,2
2013,9,Cable Lock,1
2013,11,LL Mountain Tire,2
2014,4,"Touring-3000 Blue, 50",1
2014,1,"Road-550-W Yellow, 42",2
2014,3,"Touring-2000 Blue, 60",2
2014,3,Patch Kit/8 Patches,10
2014,5,"Road-550-W Yellow, 40",3
2012,12,"Long-Sleeve Logo Jersey, XL",15
2013,12,"Short-Sleeve Classic Jersey, L",2
2013,11,"Road-750 Black, 58",1
2013,11,Bike Wash - Dissolver,4
2013,10,Road Tire Tube,12
2012,5,"Road-650 Black, 52",1
2014,1,Touring Tire,2
2014,1,"Sport-100 Helmet, Red",5
2013,5,"Road-250 Black, 58",7
2013,8,HL Road Tire,4
2011,12,"Road-150 Red, 48",2
2014,2,"Sport-100 Helmet, Black",5
2013,5,"Road-250 Red, 44",1
2014,2,"Road-250 Red, 58",1
2013,12,AWC Logo Cap,8
2014,5,Bike Wash - Dissolver,8
2014,5,"Touring-1000 Yellow, 46",1
2013,10,"Touring-1000 Blue, 60",1
2013,12,Road Bottle Cage,6
2013,6,"Touring-3000 Blue, 54",1
2012,2,"Mountain-100 Silver, 38",1
2014,3,Mountain Bottle Cage,7
2014,6,"Long-Sleeve Logo Jersey, L",1
2014,1,ML Mountain Seat/Saddle,11
2014,3,"Touring-3000 Blue, 62",2
2013,7,"Sport-100 Helmet, Red",51
2013,5,"Road-650 Black, 62",1
2013,6,Fender Set - Mountain,2
2013,12,Touring Tire Tube,5
2012,9,"Mountain-200 Silver, 42",1
2013,12,"Long-Sleeve Logo Jersey, XL",3
2013,4,"Mountain-200 Silver, 46",1
2014,2,Hitch Rack - 4-Bike,2
2014,1,"Touring-1000 Blue, 46",1
2014,3,"Short-Sleeve Classic Jersey, M",1
2012,12,"Road-250 Black, 58",1
2014,1,"Road-550-W Yellow, 48",1
2014,2,HL Road Tire,1
2012,7,"Road-650 Red, 58",1
2013,9,"Road-250 Black, 48",1
2014,2,"Mountain-200 Black, 38",2
2012,2,"Road-650 Red, 62",1
2013,12,"Road-550-W Yellow, 38",29
2014,2,"Mountain-200 Silver, 42",3
2014,3,"Mountain-200 Black, 46",1
2014,4,"Racing Socks, L",2
2011,10,"Road-150 Red, 62",1
2012,3,"Road-150 Red, 44",1
2011,12,"Road-150 Red, 56",1
2014,5,"Road-250 Black, 58",1
2014,1,"Short-Sleeve Classic Jersey, S",2
2013,11,"Racing Socks, M",2
2014,5,"Mountain-200 Silver, 46",1
2013,9,"Touring-1000 Blue, 50",1
2014,2,"Mountain-400-W Silver, 42",1
2013,11,Road Bottle Cage,8
2014,2,"Women's Mountain Shorts, L",2
2013,9,Mountain Tire Tube,9
2013,12,"Road-350-W Yellow, 40",1
2013,10,Hydration Pack - 70 oz.,1
2014,1,Touring Tire Tube,5
2014,4,LL Road Tire,4
2013,11,Fender Set - Mountain,5
2013,9,Patch Kit/8 Patches,14
2013,9,HL Mountain Tire,4
2013,8,"Mountain-200 Black, 38",1
2013,12,Road Bottle Cage,5
2013,10,ML Road Tire,5
2013,12,"Road-750 Black, 44",1
2014,1,"LL Touring Frame - Yellow, 44",11
2013,8,"Road-750 Black, 48",2
2013,12,"Short-Sleeve Classic Jersey, XL",1
2013,12,"Mountain-500 Silver, 42",1
2013,8,"Half-Finger Gloves, L",2
2013,7,"Road-550-W Yellow, 38",1
2013,6,"Road-550-W Yellow, 40",1
2014,4,"Half-Finger Gloves, M",4
2014,3,"Mountain-200 Silver, 42",22
2012,12,"Mountain-200 Silver, 46",1
2013,6,"Road-250 Black, 52",2
2012,2,"Road-150 Red, 44",3
2013,9,Mountain Bottle Cage,2
2013,10,"Women's Mountain Shorts, S",1
2013,11,LL Mountain Tire,1
2013,7,Touring Tire,2
2013,8,"Sport-100 Helmet, Blue",4
2012,11,"Road-250 Black, 58",1
2012,5,"HL Road Frame - Black, 48",4
2013,10,"Mountain-200 Silver, 42",2
2013,11,"Road-250 Black, 52",1
2011,12,"ML Road Frame - Red, 48",4
2011,10,"Road-150 Red, 62",1
2013,6,"Long-Sleeve Logo Jersey, XL",1
2013,9,"Touring-1000 Blue, 50",1
2014,4,Road Tire Tube,3
2013,10,LL Road Tire,3
2013,7,HL Road Seat/Saddle,16
2013,12,HL Touring Seat/Saddle,10
2013,9,"Long-Sleeve Logo Jersey, M",2
2014,3,HL Mountain Tire,4
2013,8,"Sport-100 Helmet, Black",32
2011,11,"Road-150 Red, 52",2
2012,6,"Mountain-200 Black, 42",1
2013,7,Road Bottle Cage,1
2013,7,Hitch Rack - 4-Bike,1
2014,4,ML Road Tire,4
2013,11,Fender Set - Mountain,5
2014,1,"Road-350-W Yellow, 40",2
2013,8,"Sport-100 Helmet, Red",4
2014,2,"Sport-100 Helmet, Blue",3
2014,1,AWC Logo Cap,9
2014,1,"Long-Sleeve Logo Jersey, L",1
2013,9,Mountain Tire Tube,15
2014,1,"Mountain-400-W Silver, 46",1
2011,6,"Road-150 Red, 56",1
2013,1,"Road-650 Red, 62",1
2014,3,"Touring-1000 Yellow, 54",1
2014,2,"Mountain-400-W Silver, 38",1
2014,5,"Mountain-200 Black, 42",2
2014,1,"Half-Finger Gloves, S",2
2014,5,Bike Wash - Dissolver,4
2013,9,"Racing Socks, L",1
2012,11,"Long-Sleeve Logo Jersey, XL",11
2014,6,"Long-Sleeve Logo Jersey, XL",2
2013,9,"Touring-1000 Yellow, 54",1
2014,4,"Mountain-500 Silver, 48",1
2012,9,"Road-250 Black, 48",1
2013,11,"Road-350-W Yellow, 48",22
2012,12,"Road-650 Red, 44",1
2012,10,"Mountain-200 Silver, 38",1
2012,12,"Mountain-200 Black, 42",2
2014,5,ML Mountain Tire,3
2012,4,"Road-150 Red, 62",3
2014,2,"Mountain-400-W Silver, 42",1
2014,2,"Road-750 Black, 48",1
2013,9,"Mountain-200 Black, 46",2
2014,3,"Road-250 Black, 48",1
2013,9,Mountain Bottle Cage,4
2014,2,"Road-750 Black, 52",1
2013,10,Water Bottle - 30 oz.,12
2014,5,Fender Set - Mountain,3
2012,7,"Road-550-W Yellow, 44",1
2014,3,"Classic Vest, L",2
2014,3,Mountain Tire Tube,12
2013,8,Touring Tire,1
2014,6,AWC Logo Cap,3
2013,7,"Long-Sleeve Logo Jersey, L",1
2012,5,"Road-150 Red, 52",2
2014,1,"Road-550-W Yellow, 44",2
2013,3,"Road-250 Black, 44",2
2013,1,"Mountain-200 Black, 38",1
2014,2,"Half-Finger Gloves, L",2
2013,11,"Mountain-200 Silver, 46",2
2014,2,Patch Kit/8 Patches,7
2013,12,"Short-Sleeve Classic Jersey, L",1
2013,6,"Road-550-W Yellow, 48",1
2013,12,"Classic Vest, M",2
2014,3,"Touring-1000 Blue, 50",10
2014,2,"Long-Sleeve Logo Jersey, S",2
2012,5,"Road-150 Red, 48",2
2013,8,"Women's Mountain Shorts, L",21
2013,9,All-Purpose Bike Stand,1
2013,9,"Sport-100 Helmet, Black",4
2012,8,"Road-250 Red, 58",1
2012,12,"Road-550-W Yellow, 40",1
2013,10,Road Tire Tube,9
2013,8,"Road-350-W Yellow, 42",2
2014,5,"Road-350-W Yellow, 48",1
2013,7,AWC Logo Cap,4
2013,10,Mountain Bottle Cage,5
2011,5,"LL Road Frame - Black, 58",4
2013,5,ML Crankset,5
2013,1,"Road-650 Red, 48",25
2013,6,"LL Mountain Frame - Black, 52",7
2013,10,"Road-250 Black, 52",1
2013,12,"Sport-100 Helmet, Red",7
2013,7,"Road-550-W Yellow, 42",1
2014,6,"Long-Sleeve Logo Jersey, L",3
2013,8,Touring Tire Tube,1
2013,7,"Road-550-W Yellow, 48",1
2014,3,"Women's Mountain Shorts, S",1
2013,11,"Mountain-500 Black, 42",1
2013,11,"Racing Socks, M",2
2014,5,"Mountain-200 Silver, 46",1
2012,6,HL Road Rear Wheel,17
2013,10,"Half-Finger Gloves, M",1
2014,1,"Sport-100 Helmet, Blue",2
2012,6,"Road-650 Red, 62",37
2013,12,"Long-Sleeve Logo Jersey, L",5
2012,11,"Road-650 Black, 60",1
2014,5,"Women's Mountain Shorts, M",2
2014,3,"Long-Sleeve Logo Jersey, M",1
2011,9,"Mountain-100 Black, 42",2
2013,8,All-Purpose Bike Stand,1
2014,2,Mountain Tire Tube,7
2014,3,HL Road Tire,1
2013,12,Touring Tire,3
2014,5,Fender Set - Mountain,9
2013,8,"Road-250 Black, 48",2
2013,10,HL Mountain Tire,8
2014,5,"Touring-1000 Yellow, 60",1
2013,12,ML Road Tire,3
2014,3,"Sport-100 Helmet, Black",5
2013,11,"Short-Sleeve Classic Jersey, L",1
2013,9,Hydration Pack - 70 oz.,2
2012,7,HL Headset,12
2013,7,"Short-Sleeve Classic Jersey, XL",1
2013,11,"Mountain-200 Silver, 46",1
2014,4,"Half-Finger Gloves, M",1
2013,9,"Women's Mountain Shorts, L",3
2014,1,Touring Tire Tube,2
2014,4,LL Road Tire,1
2014,5,"Racing Socks, M",1
2014,3,Water Bottle - 30 oz.,13
2014,1,"Road-350-W Yellow, 44",3
2014,4,"Road-350-W Yellow, 48",2
2013,4,"Road-650 Red, 44",1
2013,7,"Half-Finger Gloves, S",1
2013,5,HL Touring Handlebars,9
2014,4,"Women's Mountain Shorts, S",3
2014,1,Hitch Rack - 4-Bike,2
2014,5,"Touring-3000 Yellow, 54",1
2014,3,"Road-550-W Yellow, 44",1
2014,4,"Touring-1000 Blue, 50",1
2014,1,"Long-Sleeve Logo Jersey, S",1
2013,5,"Mountain-200 Black, 42",2
2013,11,"Road-750 Black, 44",2
2013,11,"Touring-1000 Yellow, 46",2
2013,7,"Mountain-400-W Silver, 46",1
2013,11,ML Mountain Tire,6
2013,6,"Sport-100 Helmet, Red",57
2013,9,"Mountain-200 Silver, 38",2
2013,10,Bike Wash - Dissolver,5
2011,10,"LL Road Frame - Red, 48",10
2013,9,LL Road Tire,3
2013,9,"Road-750 Black, 48",1
2013,11,"Mountain-200 Black, 42",1
2013,6,"Road-750 Black, 44",1
2014,1,"Road-550-W Yellow, 42",1
2014,3,"Touring-1000 Blue, 46",1
2012,10,"Road-650 Red, 44",1
2014,3,Patch Kit/8 Patches,13
2013,9,"Long-Sleeve Logo Jersey, M",1
2013,8,"LL Touring Frame - Blue, 50",3
2014,1,AWC Logo Cap,4
2014,4,Bike Wash - Dissolver,3
2014,4,Road Tire Tube,8
2011,8,"LL Road Frame - Black, 44",4
2014,4,"Road-250 Black, 58",1
2013,9,Water Bottle - 30 oz.,8
2011,10,"Long-Sleeve Logo Jersey, M",23
2013,10,"LL Road Frame - Black, 58",8
2014,6,Touring Tire,2
2014,5,"Half-Finger Gloves, M",1
2014,3,"Racing Socks, L",4
2013,2,"Road-550-W Yellow, 48",1
2013,10,"Touring-1000 Blue, 50",1
2012,3,"Mountain-100 Black, 42",22
2013,8,Mountain Tire Tube,9
2013,11,"Touring-3000 Blue, 58",1
2014,2,"Touring-1000 Yellow, 54",1
2014,4,"Road-350-W Yellow, 48",1
2011,6,"Road-150 Red, 48",1
2013,4,"Road-650 Red, 44",27
2013,9,"Racing Socks, L",1
2013,11,"Touring-1000 Blue, 60",1
